,Component,ExplainedVariance,TopFeatures
96,PC97,0.0015982590219042248,
97,PC98,0.0015737299988452323,
98,PC99,0.0015541951594878352,
99,PC100,0.0015220484334905018,
100,PC101,0.00147797611240549,
101,PC102,0.0014721274441074253,
102,PC103,0.001439164250194537,
103,PC104,0.001432723011581585,
104,PC105,0.0014036373956053234,
105,PC106,0.0013824101915685075,
106,PC107,0.0013758820945056587,
107,PC108,0.001332979258189222,
108,PC109,0.0013095598941479574,
109,PC110,0.001298186145612923,
110,PC111,0.0012516586968010386,
111,PC112,0.0012348883417655481,
112,PC113,0.001218710453275734,
113,PC114,0.0012070192974347436,
114,PC115,0.0011908750354871923,
115,PC116,0.0011644570218723943,
116,PC117,0.0011554059100695195,
117,PC118,0.0011526808970737622,
118,PC119,0.0011367127701445668,
119,PC120,0.001118936083317225,
120,PC121,0.0010890369260782497,
121,PC122,0.0010730959936604211,
122,PC123,0.0010686303065000882,
123,PC124,0.001054370199432755,
124,PC125,0.0010433144537540578,
125,PC126,0.0010304868508404547,
126,PC127,0.0010191438911193022,
127,PC128,0.0010125621062924068,
128,PC129,0.0009936883196847886,
129,PC130,0.0009828673494248722,
130,PC131,0.0009659168252221279,
131,PC132,0.0009556426130778612,
132,PC133,0.0009390624177184522,
133,PC134,0.0009283234210381743,
134,PC135,0.0009177766162425391,
135,PC136,0.0009041473877198606,
136,PC137,0.0008893701791425486,
137,PC138,0.0008808067235428067,
138,PC139,0.0008754735327104755,
139,PC140,0.000863555511992643,
140,PC141,0.0008515799159657163,
141,PC142,0.0008368921256314372,
142,PC143,0.0008324739564560226,
143,PC144,0.0008222121063769928,
144,PC145,0.0008081585876996825,
145,PC146,0.0007865806420639817,
146,PC147,0.0007820944734012277,
147,PC148,0.0007776371162925796,
148,PC149,0.0007677511295392065,
149,PC150,0.000761103178549906,
150,PC151,0.0007478004276598514,
151,PC152,0.0007415673372009481,
152,PC153,0.0007249087426411172,
153,PC154,0.0007189581679170212,
154,PC155,0.0007088527770831344,
155,PC156,0.0007016241843697345,
156,PC157,0.0006937056602381696,
157,PC158,0.0006812818370959967,
158,PC159,0.0006767326199605076,
159,PC160,0.000674264422733055,
160,PC161,0.0006585090864815373,
161,PC162,0.0006480699919369769,
162,PC163,0.000646824701678442,
163,PC164,0.0006377484632533889,
164,PC165,0.0006308217362072367,
165,PC166,0.0006232785902988565,
166,PC167,0.0006107425518398925,
167,PC168,0.0006100974042668378,
168,PC169,0.0006017916571073105,
169,PC170,0.0005974118228020451,
170,PC171,0.0005870102830840527,
