Data,BDIY,CRY,Cl1,DXY,ECSURPUS,EMUSTRUU,EONIA,GBP,GT10,GTDEM10Y,GTDEM2Y,GTDEM30Y,GTGBP20Y,GTGBP2Y,GTGBP30Y,GTITL10YR,GTITL2YR,GTITL30YR,GTJPY10YR,GTJPY2YR,GTJPY30YR,JPY,LF94TRUU,LF98TRUU,LG30TRUU,LMBITR,LP01TREU,LUACTRUU,LUMSTRUU,MXBR,MXCN,MXEU,MXIN,MXJP,MXRU,MXUS,US0001M,USGG2YR,USGG30YR,USGG3M,VIX,XAUBGNL,Y,Year,Period,BDIY_zscore,CRY_zscore,Cl1_zscore,DXY_zscore,ECSURPUS_zscore,EMUSTRUU_zscore,EONIA_zscore,GBP_zscore,GT10_zscore,GTDEM10Y_zscore,GTDEM2Y_zscore,GTDEM30Y_zscore,GTGBP20Y_zscore,GTGBP2Y_zscore,GTGBP30Y_zscore,GTITL10YR_zscore,GTITL2YR_zscore,GTITL30YR_zscore,GTJPY10YR_zscore,GTJPY2YR_zscore,GTJPY30YR_zscore,JPY_zscore,LF94TRUU_zscore,LF98TRUU_zscore,LG30TRUU_zscore,LMBITR_zscore,LP01TREU_zscore,LUACTRUU_zscore,LUMSTRUU_zscore,MXBR_zscore,MXCN_zscore,MXEU_zscore,MXIN_zscore,MXJP_zscore,MXRU_zscore,MXUS_zscore,US0001M_zscore,USGG2YR_zscore,USGG30YR_zscore,USGG3M_zscore,VIX_zscore,XAUBGNL_zscore
2005-11-22,2837,315.5,58.84,91.5,0.146,469.6895,2.08,1.7144,4.428,3.484,2.775,3.813,4.201,4.272,4.125,3.675,2.833,4.15,1.47,0.236,2.395,119.28,202.5136,780.7,505.636,690.6061,144.2081,1522.74,1263.46,1536.44,28.18,106.25,345.94,929.8,764.42,1192.52,4.17,4.2996,4.6544,3.9112,10.6,492.55,0,2005,Normal,0.2983547600221874,1.0534606190327716,-0.12565588630854685,0.19680602709760617,0.29249873020853817,-0.9400289778778503,0.6760963258045029,0.598354901819344,1.038609236346181,0.7459656515603493,0.9449127376257872,0.6144561385680801,0.6730191900008944,1.0375005948088707,0.6453759396302825,0.27930802708116165,0.7868827728860456,0.03733993325499142,0.9885623068231205,0.4255426495621252,1.0174456019522693,1.080001569807588,-0.9729697399979363,-0.9925663494408024,-0.995467100550991,-0.9713307751075415,-0.9820561250304182,-0.986969387409941,-1.0547975193086219,-0.4121744258831787,-1.1406921290591423,-0.21053858804080203,-0.9946428424053704,0.5983652250606215,0.3524328978976239,-0.7224574275022243,1.38640375858386,1.4905190812333093,0.776688180144752,1.431283306447113,-1.2244503392158568,-1.120776683400137
2005-11-29,2743,311.23,56.5,91.62,0.147,471.0461,2.11,1.7197,4.476,3.467,2.764,3.805,4.199,4.293,4.124,3.641,2.834,4.151,1.454,0.23,2.374,119.45,203.1922,783.62,507.463,690.771,144.3257,1521.07,1260.31,1586.95,28.41,106.22,362.09,941.0,776.63,1188.81,4.22,4.3902,4.6908,3.9733,11.89,498.3,0,2005,Normal,0.2461167940272841,0.9859242396126856,-0.22761501864796185,0.2099112193012899,0.29545588159557296,-0.9355027355313984,0.6956828735596127,0.6221729441514301,1.0786216686240384,0.7363931682539038,0.9385873772577062,0.6097609878853649,0.6715382171404861,1.0476990647761424,0.6445816315850215,0.25352274286473625,0.7875446657964723,0.03821939867656103,0.9645612430816268,0.4050336674307435,0.9894875869422166,1.0958439962164543,-0.9632507575554802,-0.9871987634062642,-0.9904392496910717,-0.9706236169210118,-0.980977605201406,-0.9894933975353789,-1.0626856446929056,-0.3551186312235178,-1.13133789635824,-0.21209003611599012,-0.9551125688138975,0.6580268636588263,0.39956831914199187,-0.7277376195520341,1.414682686349758,1.5475103330282247,0.8104482218689623,1.468298016597262,-0.9615110844711139,-1.1081133244739985
2005-12-06,2746,324.29,59.94,91.44,0.243,473.855,1.8,1.7418,4.484,3.373,2.663,3.715,4.21,4.317,4.135,3.549,2.757,4.061,1.555,0.255,2.388,120.82,204.4925,783.64,508.3055,690.6385,144.1484,1520.05,1260.48,1679.78,28.69,108.37,359.35,967.78,801.1,1194.71,4.33125,4.391,4.6776,4.025,11.52,509.08,0,2005,Normal,0.24778396315478102,1.1924874984478908,-0.0777263796532666,0.1902534309957643,0.5793424147509113,-0.9261309515663766,0.4932885467568102,0.7214896867059764,1.0852904073370147,0.6834629664417924,0.8805090684235093,0.5569405427048192,0.6796835678727331,1.0593544590244528,0.6533190200828898,0.1837507973379377,0.7365789116936083,-0.04093248926474751,1.1160679579498058,0.49048775964483426,1.0081262636155848,1.2235153149231999,-0.9446277206118826,-0.9871619991183564,-0.9881207141960077,-0.971191830745846,-0.9826036389232075,-0.9910350085101972,-1.062259936338833,-0.2502584170430323,-1.119950134809315,-0.1009029240608472,-0.9618192530021721,0.8006821030927473,0.49403218137374305,-0.7193405486372422,1.477603300628881,1.5480135670396586,0.7982055693755672,1.499113805884906,-1.0369277699405364,-1.0843722793916037
2005-12-13,2613,335.62,61.37,90.38,0.194,474.163,2.32,1.7677,4.521,3.403,2.798,3.714,4.212,4.389,4.105,3.574,2.858,4.054,1.575,0.265,2.406,120.08,206.2007,786.85,510.9095,691.1169,145.3653,1519.16,1261.57,1614.7,29.06,108.42,376.78,990.15,810.86,1199.27,4.3675,4.4004,4.7242,3.9009,11.11,522.9,0,2005,Normal,0.17387279850241782,1.3716882429044661,-0.01541802100140198,0.07449089986322892,0.4344419967862074,-0.9251033217250769,0.8327887078453822,0.8378835162156031,1.1161333238845297,0.7003555840414023,0.9581384911226836,0.5563536488694799,0.6811645407331415,1.0943206417693843,0.629489778725068,0.20271056514413288,0.8034300956467156,-0.0470887472157379,1.146069287626673,0.5246693965304706,1.0320902764813447,1.154554164672841,-0.9201626958429419,-0.981261330909155,-0.9809545819358928,-0.9691402572077272,-0.9714433431755474,-0.9923801396548915,-1.059530394539192,-0.32377239677874264,-1.1049020213339504,-0.09831717726886728,-0.9191559298628922,0.9198455723286255,0.5317096352103549,-0.712850609082759,1.498105523259157,1.5539265666740099,0.8414258425719454,1.4251439905929018,-1.1204976105958422,-1.053936171503042
2005-12-20,2475,325.81,57.98,90.78,0.269,475.4855,2.33,1.7532,4.462,3.348,2.845,3.633,4.116,4.27,4.025,3.54,2.87,3.985,1.52,0.26,2.354,117.1,206.7561,787.87,511.3914,693.6197,145.3495,1526.39,1266.78,1535.83,29.47,108.83,379.99,979.72,810.72,1191.24,4.37,4.4014,4.6534,3.9629,11.19,495.68,0,2005,Normal,0.0971830186375598,1.2165285515435653,-0.16312804605722095,0.11817487387550694,0.6562283508138155,-0.9206908526824833,0.8393175570970856,0.7727209475712177,1.0669513758763298,0.6693857851087839,0.985165030877211,0.508815248206989,0.610077843433532,1.0365293119548444,0.5659451351042084,0.17692528092770748,0.8113728105718373,-0.10777186130407489,1.0635656310152883,0.5075785780876524,0.9628609059802616,0.8768457487997722,-0.9122081970976724,-0.9793863522258575,-0.9796284071524253,-0.9584072341073845,-0.9715882463498532,-0.981452838333385,-1.0464836855702662,-0.41286347824394687,-1.0882270847801678,-0.07711405357463096,-0.911298829043782,0.8642856713840479,0.5311691799299116,-0.7242791649210265,1.499519469647452,1.5545556091883022,0.7757607064710106,1.4620990957347573,-1.1041913002240753,-1.1138834114977345
2005-12-27,2407,324.59,58.16,91.19,0.288,479.2256,2.35,1.7299,4.339,3.325,2.872,3.611,4.123,4.221,4.036,3.522,2.905,3.963,1.49,0.284,2.294,117.19,206.4768,789.91,513.0514,696.4969,145.0615,1539.4,1272.92,1552.55,29.58,109.5,378.2,993.37,814.84,1188.27,4.38,4.3426,4.5042,3.9595,11.57,507.88,0,2005,Normal,0.05939385174762976,1.197232443137826,-0.155285035877266,0.16295094723809092,0.712414227167476,-0.9082121566777919,0.8523752556004922,0.6680114407150668,0.9644195181643207,0.6564347782824164,1.0006909154170456,0.49590358382952243,0.6152612484449622,1.0127328820312107,0.574682523602076,0.16327424810724672,0.8345390624367753,-0.12712010057861683,1.0185636364999877,0.5896145066131795,0.8829808630943967,0.8852329157221135,-0.916208361842998,-0.9756363948592622,-0.9750601354351478,-0.9460686317163399,-0.9742295194004953,-0.9617897414879081,-1.0311081014878851,-0.39397666599469855,-1.0837533213145187,-0.042465046562098055,-0.9156802030207936,0.9369982934256095,0.547074006754383,-0.7285061650255913,1.5051752552006314,1.5175679093478938,0.6373816343486999,1.4600725254527847,-1.0267363259581819,-1.0870150673414065
2006-01-03,2438,336.37,63.14,89.84,0.261,482.1868,2.42,1.742,4.366,3.326,2.878,3.588,4.049,4.161,3.967,3.531,2.923,3.943,1.47,0.286,2.298,116.41,208.4663,791.95,515.4282,697.3588,145.2534,1537.22,1273.25,1621.62,29.7,110.4,388.75,1000.95,820.05,1200.1,4.39,4.3249,4.5463,4.1144,11.14,528.7,0,2006,Normal,0.07662126606509786,1.3835506046293056,0.061704912434822214,0.015517534946655271,0.6325711397175372,-0.8983322297750105,0.8980772003624152,0.7223884807562436,0.9869265113206149,0.6569978655357367,1.0041411119814534,0.4824050256167163,0.5604652526098468,0.9835943964104343,0.5198752684790849,0.17009976451747727,0.8464531348244579,-0.14470940901001877,0.9885623068231205,0.5964508339903067,0.8883061992867877,0.8125441357284914,-0.8877145281128686,-0.9718864374926669,-0.9685192509666988,-0.9423724543908703,-0.9724695878087655,-0.9650845571007551,-1.030281726447627,-0.3159556060631449,-1.0788728520792654,0.00407839569354334,-0.8898570212009769,0.9773764381197517,0.5671866639765905,-0.7116693262252545,1.510831040753811,1.506433856844914,0.6764282760132387,1.5524006832991297,-1.1143827442064294,-1.0411626964123284
2006-01-10,2470,336.45,63.37,89.33,0.192,484.0819,2.34,1.7642,4.426,3.287,2.846,3.53,4.026,4.29,3.908,3.491,2.883,3.903,1.425,0.265,2.258,114.59,209.6397,799.13,520.6817,697.8366,147.4477,1533.94,1274.34,1725.33,31.19,111.36,387.02,1004.61,873.55,1221.29,4.43688,4.391,4.6113,4.2838,10.86,542.08,0,2006,Normal,0.09440440342506495,1.3848159232132882,0.07172653655365345,-0.04017953191899899,0.4285276940121378,-0.8920093034365459,0.8458464063487887,0.8221546203359236,1.036942051667937,0.6350374626562435,0.9857400636379455,0.4483651831670312,0.5434340647151483,1.0462421404951034,0.47301109380870093,0.13976413602756485,0.8199774184073857,-0.17988802587282265,0.9210593150501696,0.5246693965304706,0.8350528373628777,0.6429369824100408,-0.8709089666658042,-0.9586880581337681,-0.9540617717698808,-0.9403234538964864,-0.9523454716454891,-0.9700418943531122,-1.0275521846479863,-0.19880540879223932,-1.0182736924082016,0.05372473409956019,-0.894091533480435,0.9968730093045219,0.7737177890030998,-0.6815110325499256,1.5373453634271173,1.5480135670396586,0.7367140648064708,1.653371567348006,-1.171454830507614,-1.0116956107720276
2006-01-17,2263,342.45,66.31,89.3,0.137,485.4122,2.21,1.7622,4.326,3.267,2.819,3.528,3.857,4.205,3.711,3.474,2.851,3.901,1.425,0.245,2.283,115.86,211.64,797.09,519.9933,700.8311,147.0558,1543.1,1280.26,1764.86,31.83,111.08,380.33,988.33,927.66,1214.18,4.48,4.3231,4.5024,4.3212,11.91,555.98,0,2006,Normal,-0.020630266372222095,1.4797148170120042,0.19982903615958514,-0.043455829969919924,0.2658843677252253,-0.8875708100018675,0.7609713660766458,0.8131666798332496,0.9535828177557337,0.6237757175898369,0.9702141790981106,0.44719139549635256,0.4182918580106279,1.0049626191990038,0.3165324088923343,0.12687149391935215,0.798796845273728,-0.18164695671596304,0.9210593150501696,0.4563061227591979,0.8683361885653214,0.7612892267586301,-0.8422604541700124,-0.9624380155003632,-0.955956228547094,-0.92748182145523,-0.955939620633498,-0.9561976232459203,-1.0127275172591106,-0.15415255662640293,-0.9922445231535166,0.03924455206447179,-0.9104666127576457,0.9101505560564177,0.9826037548943974,-0.6916302146184289,1.5617331107324277,1.505301580319187,0.635712181735964,1.6756638404497057,-0.9574345068781722,-0.9810833170201455
2006-01-24,2050,343.72,67.06,88.06,0.119,488.8833,2.33,1.7886,4.392,3.37,2.892,3.628,3.868,4.268,3.703,3.585,2.932,4.007,1.435,0.235,2.325,114.56,212.5383,800.34,523.8504,701.2686,147.4624,1540.59,1279.99,1871.7,32.65,109.51,389.79,980.65,967.63,1199.27,4.53,4.382,4.5717,4.3874,13.31,557.4,0,2006,Normal,-0.13899927442450297,1.4998017495327332,0.23250824524273092,-0.17887614940797936,0.21265564275859927,-0.8759896218780513,0.8393175570970856,0.9318074944685446,1.0085999121377882,0.6817737046818314,1.0121915706317381,0.505880779030292,0.42643720874287455,1.0355580291008186,0.31017794453024833,0.2110528629788589,0.8524101710182992,-0.08842362202953295,0.9360599798886032,0.42212448587356155,0.924252218585427,0.6401412601025938,-0.8293949046149606,-0.9564638187153464,-0.9453416015346171,-0.9256056437317203,-0.9522106566668626,-0.9599911953506203,-1.0134036422920492,-0.03346673002893343,-0.9588946500459514,-0.041947897203701776,-0.8873114184433836,0.8692397181605056,1.1369037374609317,-0.712850609082759,1.5900120384983256,1.5423521844110246,0.6999861073262865,1.7151223559398807,-0.67207407537225,-0.9779560179462123
2006-01-31,2081,348.66,67.92,88.96,0.064,487.2309,2.33,1.7835,4.517,3.467,2.955,3.728,3.998,4.317,3.844,3.692,3.001,4.115,1.56,0.289,2.399,116.85,210.5474,802.96,524.2842,698.5595,148.4221,1532.02,1274.7,1950.14,33.41,113.06,403.6,1042.8,965.5,1211.66,4.57,4.5155,4.6768,4.46,12.95,571.95,0,2006,Normal,-0.12177186010703486,1.5779351720936758,0.26998040499140474,-0.0805872078803561,0.05001231647168673,-0.8815027892474137,0.8393175570970856,0.9088882461867267,1.112798954528042,0.7363931682539038,1.0484186345580195,0.5645701625642315,0.5227004446694292,1.0593544590244528,0.4221753789120133,0.2922006691893747,0.8980807818377486,0.006558643500037926,1.1235682903690227,0.6067053250559976,1.0227709381446601,0.8535480629043805,-0.8579087892961943,-0.951647696999425,-0.944147796552114,-0.9372233650363148,-0.9434091644908172,-0.9729437503057115,-1.026650684604068,0.05513862600163097,-0.927985011556013,0.14164012502688242,-0.8535087510564956,1.2003085430603637,1.1286810964084744,-0.6952167601616959,1.6126351807110442,1.6263293600690953,0.7974635904365737,1.7583955919608274,-0.7454524720452016,-0.9459122140548536
