,GTITL30YR,GTITL10YR,GTITL2YR,yield_dispersion_26w,yield_dispersion_12w,VIX,MXUS_vol_12w,MXUS_vol_26w,MXEU_vol_12w,MXEU_vol_26w,VIX_logret_104w,VIX_logret_26w,VIX_logret_52w,MXUS_logret_4w,MXUS_roc_4w,bond_equity_ratio_zscore,gold_equity_ratio_zscore,bond_equity_ratio,MXUS_st_lt_divergence,gold_equity_ratio,neg_thresh_1.5sd_26w_pct,neg_thresh_1.5sd_26w_count,neg_thresh_2.0sd_26w_pct,neg_thresh_2.0sd_26w_count,neg_thresh_1.5sd_12w_pct,vix_zscore_52w,vix_percentile_52w,negative_weeks_count_12w,commcurr_avg_change_26w,negative_weeks_pct_12w,Y,pre_crisis
2005-04-08,4.328285714285714,3.717857142857143,2.4594285714285715,0.2425329863026124,0.0519345814663573,12.66,0.1200980454979718,0.1086432661069341,0.0708457482977204,0.0779452086877001,-0.6875639943772047,-0.1339863115316643,-0.2462376983261606,-0.020835161001874,-2.0558174599338668,-0.9242945929365148,-0.2165573389364163,0.0002034164908089,-0.0241908786306846,0.3829822413543308,0.0,0.0,0.0,0.0,0.0,-0.9757617212313188,0.2362637362637362,5.0,0.0119041350438935,41.66666666666667,0,0
2005-04-09,4.328714285714286,3.710142857142857,2.4505714285714286,0.241732250973175,0.0512280680441708,12.32,0.1198123638563114,0.1084259464294782,0.0708230866162056,0.0773378895008797,-0.6885169210107943,-0.1721335500178956,-0.2905755137288672,-0.0176035653326257,-1.7388027505060586,-0.8728614323011796,-0.2130852917385082,0.0002040195225437,-0.0212211705591457,0.3830201644588632,0.0,0.0,0.0,0.0,0.0,-1.150705831567825,0.1868131868131868,5.0,0.0098050160080797,41.66666666666667,0,0
2005-04-10,4.329142857142857,3.7024285714285714,2.4417142857142857,0.2409315156437376,0.0505215546219844,11.98,0.119526682214651,0.1082086267520223,0.0708004249346908,0.0767305703140594,-0.6894698476443839,-0.210280788504127,-0.3349133291315738,-0.0143719696633773,-1.4217880410782504,-0.8214282716658444,-0.2096132445406001,0.0002046225542785,-0.0182514624876068,0.3830580875633956,0.0,0.0,0.0,0.0,0.0,-1.3256499419043306,0.1373626373626374,5.0,0.007705896972266,41.66666666666667,0,0
2005-04-11,4.329571428571429,3.6947142857142854,2.432857142857143,0.2401307803143003,0.0498150411997979,11.64,0.1192410005729906,0.1079913070745664,0.0707777632531759,0.0761232511272391,-0.6904227742779735,-0.2484280269903584,-0.3792511445342804,-0.011140373994129,-1.1047733316504424,-0.7699951110305092,-0.206141197342692,0.0002052255860134,-0.0152817544160679,0.383096010667928,0.0,0.0,0.0,0.0,0.0,-1.5005940522408363,0.0879120879120879,5.0,0.0056067779364523,41.66666666666667,0,0
2005-04-12,4.33,3.687,2.424,0.2393300449848629,0.0491085277776115,11.3,0.1189553189313301,0.1077739873971105,0.0707551015716611,0.0755159319404188,-0.6913757009115631,-0.2865752654765898,-0.423588959936987,-0.0079087783248806,-0.787758622222634,-0.7185619503951741,-0.2026691501447839,0.0002058286177482,-0.0123120463445291,0.3831339337724604,0.0,0.0,0.0,0.0,0.0,-1.6755381625773424,0.0384615384615384,5.0,0.0035076589006385,41.66666666666667,0,0
2005-04-13,4.321285714285715,3.675142857142857,2.4107142857142856,0.2419060896112186,0.0520450914109665,11.822857142857144,0.1197365003069079,0.1085922016043902,0.0737043713818293,0.076891845793516,-0.6390011333134815,-0.2472501640162103,-0.3785377834054704,-0.0089618374498022,-0.8918508535061598,-0.5694801744044022,-0.0117545813732101,0.0002077073035419,-0.0131368018804965,0.3854911812514563,0.0,0.0,0.0,0.0,0.6802721088435374,-1.3890691254570275,0.1208791208791209,5.0,0.0036779101352033,41.66666666666667,0,0
2005-04-14,4.312571428571428,3.6632857142857143,2.3974285714285712,0.2444821342375744,0.0549816550443215,12.345714285714289,0.1205176816824856,0.1094104158116699,0.0766536411919975,0.0782677596466133,-0.5866265657154,-0.2079250625558308,-0.333486606873954,-0.0100148965747237,-0.9959430847896856,-0.4203983984136302,0.1791599873983635,0.0002095859893356,-0.0139615574164639,0.3878484287304521,0.0,0.0,0.0,0.0,1.3605442176870748,-1.1026000883367124,0.2032967032967033,5.0,0.0038481613697681,41.66666666666667,0,0
2005-04-15,4.303857142857143,3.6514285714285712,2.384142857142857,0.2470581788639301,0.0579182186776765,12.86857142857143,0.1212988630580634,0.1102286300189496,0.0796029110021658,0.0796436734997105,-0.5342519981173184,-0.1685999610954513,-0.2884354303424374,-0.0110679556996453,-1.1000353160732113,-0.2713166224228583,0.3700745561699372,0.0002114646751292,-0.0147863129524313,0.3902056762094479,0.0,0.0,0.0,0.0,2.0408163265306123,-0.8161310512163974,0.2857142857142857,5.0,0.0040184126043329,41.66666666666667,0,0
2005-04-16,4.295142857142857,3.6395714285714287,2.370857142857143,0.2496342234902858,0.0608547823110316,13.391428571428571,0.1220800444336411,0.1110468442262293,0.082552180812334,0.0810195873528077,-0.4818774305192368,-0.1292748596350718,-0.2433842538109209,-0.0121210148245669,-1.204127547356737,-0.1222348464320863,0.560989124941511,0.0002133433609229,-0.0156110684883987,0.3925629236884438,0.0,0.0,0.0,0.0,2.7210884353741496,-0.5296620140960824,0.3681318681318681,5.0,0.0041886638388977,41.66666666666667,0,0
2005-04-17,4.286428571428572,3.6277142857142857,2.3575714285714287,0.2522102681166416,0.0637913459443866,13.914285714285716,0.1228612258092188,0.111865058433509,0.0855014506225022,0.082395501205905,-0.4295028629211553,-0.0899497581746923,-0.1983330772794044,-0.0131740739494885,-1.3082197786402627,0.0268469295586855,0.7519036937130847,0.0002152220467166,-0.0164358240243661,0.3949201711674396,0.0,0.0,0.0,0.0,3.401360544217687,-0.2431929769757672,0.4505494505494506,5.0,0.0043589150734625,41.66666666666667,0,0
