Data,original,trend,seasonal,residual
2006-11-14,1314.21,1296.5951370985629,-5.578369199953675,23.193232101390777
2006-11-21,1323.64,1299.7738284157851,-8.497218033242598,32.36338961745764
2006-11-28,1308.49,1302.9596119839334,-17.078179527254363,22.608567543320987
2006-12-05,1335.66,1306.154289302811,0.011782455902995537,29.493928241286085
2006-12-12,1331.67,1309.3589136020305,10.129126505450312,12.181959892519217
2006-12-19,1343.25,1312.573167686313,8.35150399361514,22.325328320072003
2006-12-26,1334.96,1315.795253411027,11.770584351366944,7.394162237605997
2007-01-02,1336.3,1319.0224155568096,8.59458573237268,8.682998710817628
2007-01-09,1331.7,1322.251397099484,-2.6418420095488706,12.090444910064889
2007-01-16,1352.52,1325.478210076539,-5.455374515882336,32.49716443934335
2007-01-23,1348.66,1328.6985584520446,-36.063742661728924,56.02518420968431
2007-01-30,1350.11,1331.9071871847834,-13.723722567814605,31.926535383031023
2007-02-06,1369.05,1335.0965827968344,-19.848271596705537,53.801688799871044
2007-02-13,1365.22,1338.25707111865,-13.434339361960909,40.39726824331092
2007-02-20,1380.84,1341.3769752268458,-12.81315040765665,52.2761751808107
2007-02-27,1324.24,1344.4433063475574,-20.133592234354786,-0.06971411320250809
2007-03-06,1319.2,1347.4420778008707,-41.995863753285064,13.753785952414319
2007-03-13,1303.41,1350.359303160552,-42.55607788495723,-4.393225275594659
2007-03-20,1334.97,1353.1816075414924,-27.642678654211096,9.431071112718655
2007-03-27,1351.06,1355.8968579084235,-15.47026592382998,10.63340801540653
2007-04-03,1360.4,1358.4939949329594,-4.27656801589838,6.182573082939143
2007-04-10,1370.36,1360.962762112606,-3.81031316511704,13.207551052511008
2007-04-17,1391.61,1363.293909062267,-0.33521349680548695,28.65130443453836
2007-04-24,1399.33,1365.479435775171,12.205977107507657,21.644587117321407
2007-05-01,1404.19,1367.5129942308781,21.73648416905347,14.94052160006845
2007-05-08,1424.21,1369.3899604382002,43.37171550029153,11.448324061508401
2007-05-15,1417.69,1371.1069039528397,32.14121901877038,14.441877028389854
2007-05-22,1439.54,1372.661458966184,35.134036486490054,31.74450454732596
2007-05-29,1433.87,1374.0525027801025,28.29745723740867,31.520039982488697
2007-06-05,1446.75,1375.280026796102,36.54789682440218,34.92207637949582
2007-06-12,1410.5,1376.3447392996202,12.746148340268586,21.409112360111294
2007-06-19,1449.01,1377.2479298620633,25.524960984488107,46.2371091534485
2007-06-26,1410.3,1377.991423011853,3.6099323620756483,28.698644626071427
2007-07-03,1440.7,1378.577615486344,19.266211955425877,42.85617255823013
2007-07-10,1427.06,1379.0093254626045,8.551331155788318,39.499343381607105
2007-07-17,1464.0,1379.2890787538227,0.7361450205228666,83.97477622565452
2007-07-24,1427.55,1379.4189787586104,18.503640022740512,29.627381218649134
2007-07-31,1374.91,1379.4004057143466,5.124512133715638,-9.614917848062078
2007-08-07,1394.71,1379.2341176936275,17.76766240207042,-2.291780095697959
2007-08-14,1348.26,1378.9202549287425,8.201454626524445,-38.861709555267
2007-08-21,1366.43,1378.4590822641464,12.12131413676662,-24.150396400912996
2007-08-28,1352.68,1377.851332803996,14.76698869001481,-39.93832149401078
2007-09-04,1407.81,1377.0981139953417,34.988869915204944,-4.276983910546733
2007-09-11,1390.77,1376.2010668419082,20.119494491283447,-5.550561333191581
2007-09-18,1435.52,1375.1619367482701,34.93058444086419,25.42747881086575
2007-09-25,1433.75,1373.9825065403174,35.292586913129625,24.47490654655303
2007-10-02,1462.61,1372.6641424969066,37.511711646922286,52.43414585617097
2007-10-09,1480.24,1371.207447260901,3.246245467363146,105.78630727173572
2007-10-16,1455.43,1369.6120497754484,1.5847691754680993,84.23318104908344
2007-10-23,1438.47,1367.8764023302426,-5.549344791098088,76.14294246085547
2007-10-30,1449.15,1365.997286187864,-7.29711627324781,90.44983008538406
2007-11-06,1439.19,1363.968468620548,8.694251011160622,66.52728036829149
2007-11-13,1401.38,1361.7812817159813,-18.7256942175407,58.324412501559436
2007-11-20,1362.51,1359.4252781925368,-31.104350726820993,34.18907253428415
2007-11-27,1351.9,1356.8889652770724,-38.20357979106914,33.21461451399682
2007-12-04,1384.49,1354.160950882512,-21.673596749507734,52.002645866995636
2007-12-11,1399.7,1351.229272738199,-8.54675552536634,57.01748278716741
2007-12-18,1377.23,1348.081433731848,-3.761366024558562,32.909932292710664
2007-12-25,1417.29,1344.7046685164134,-3.9715494906163857,76.55688097420284
2008-01-01,1390.91,1341.0862155314574,-1.4103090484876395,51.23409351703026
2008-01-08,1315.83,1337.2139829774487,-8.656255123940861,-12.727727853507986
